format,bits,kappa,SQNR_dB,SQNR_dB_std,MSE,MSE_std,MaxAE,MaxAE_std,EffBits,EffBits_std
HAD+INT8(C),8,20.0,41.1421,0.1208,0.0001,0.0,0.0487,0.006,6.8335,0.0201
MXINT8,8,20.0,40.2152,0.3195,0.0001,0.0,0.1217,0.0029,6.6796,0.0531
MXFP8,8,20.0,30.6254,0.2492,0.001,0.0001,0.2976,0.0966,5.0868,0.0414
FP16,8,30.0,74.5406,0.1429,0.0,0.0,0.001,0.0001,12.3809,0.0237
SQ-Format-INT,8,30.0,38.7293,0.1971,0.0002,0.0,0.1235,0.0014,6.4328,0.0327
SQ-Format-FP,8,30.0,28.2597,0.0784,0.0018,0.0,2.0,0.0,4.6938,0.013
INT8(T),8,30.0,23.711,0.041,0.0052,0.0,0.125,0.0,3.9383,0.0068
INT8(C),8,30.0,38.9395,0.2485,0.0002,0.0,0.1233,0.0017,6.4677,0.0413
HAD+INT8(T),8,30.0,35.7441,0.0498,0.0003,0.0,0.067,0.0041,5.937,0.0083
HAD+INT8(C),8,30.0,41.6,0.1209,0.0001,0.0,0.0487,0.006,6.9096,0.0201
MXINT8,8,30.0,40.6731,0.3195,0.0001,0.0,0.1217,0.0029,6.7557,0.0531
MXFP8,8,30.0,28.0114,0.1248,0.0019,0.0001,2.0,0.0,4.6526,0.0207
FP16,8,50.0,75.7471,0.1428,0.0,0.0,0.001,0.0001,12.5813,0.0237
SQ-Format-INT,8,50.0,36.2143,0.3828,0.0004,0.0,0.2446,0.0069,6.0151,0.0636
SQ-Format-FP,8,50.0,29.4663,0.0783,0.0018,0.0,2.0,0.0,4.8942,0.013
INT8(T),8,50.0,18.8727,0.054,0.0209,0.0003,0.2499,0.0001,3.1347,0.009
INT8(C),8,50.0,36.1843,0.4546,0.0004,0.0,0.2461,0.0035,6.0101,0.0755
HAD+INT8(T),8,50.0,30.9218,0.056,0.0013,0.0,0.1315,0.0077,5.136,0.0093
HAD+INT8(C),8,50.0,42.0995,0.1709,0.0001,0.0,0.0929,0.0097,6.9926,0.0284
MXINT8,8,50.0,38.7294,0.4218,0.0002,0.0,0.2436,0.0048,6.4328,0.0701
MXFP8,8,50.0,29.218,0.1248,0.0019,0.0001,2.0,0.0,4.853,0.0207
FP16,8,100.0,79.0453,0.1427,0.0,0.0,0.001,0.0001,13.1291,0.0237
SQ-Format-INT,8,100.0,34.1566,0.4712,0.0013,0.0001,0.492,0.0087,5.6733,0.0783
SQ-Format-FP,8,100.0,28.599,0.0301,0.0048,0.0,4.0,0.0,4.7502,0.005
INT8(T),8,100.0,16.1708,0.0631,0.0831,0.0012,0.4999,0.0002,2.6859,0.0105
INT8(C),8,100.0,34.1932,0.5003,0.0013,0.0001,0.4927,0.0077,5.6794,0.0831
HAD+INT8(T),8,100.0,34.2194,0.0566,0.0013,0.0,0.1315,0.0077,5.6837,0.0094
HAD+INT8(C),8,100.0,45.3895,0.1728,0.0001,0.0,0.0937,0.0098,7.539,0.0287
MXINT8,8,100.0,36.82,0.6147,0.0007,0.0001,0.4879,0.0114,6.1157,0.1021
MXFP8,8,100.0,28.5019,0.05,0.0049,0.0001,4.0,0.0,4.7341,0.0083
