format,dist_name,bits,mse,snr_db,kl_div,max_ae,eff_bits,enc_data_bits_per_element,enc_metadata_bits_per_element,dist_type,dist_sigma,enc_bandwidth_amplification,enc_dense_bits,enc_sparse_bits,enc_sparsity_ratio,dist_b,dist_nu,dist_mu1,dist_mu2,dist_outlier_ratio,dist_outlier_sigma,dist_n_outlier_channels,dist_spike_ratio,dist_spike_multiplier,dist_n_spikes,dist_mu
HAD+INT4,Laplace(b=0.5),4,0.008156917395194377,17.089426248368127,2.056130246385359,0.28942787647247314,2.838492258997981,4.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
HAD+INT8,Laplace(b=0.5),8,0.002358338614287872,22.478625271019087,2.1440562183483802,0.13898015022277832,3.733618841112168,8.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
FP32,Laplace(b=1.0),32,0.0,inf,0.0,0.0,inf,32.0,0.0,laplace,,,,,,1.0,,,,,,,,,,
BF16,Laplace(b=1.0),16,1.9559476389327943e-05,49.31171455943349,0.4205973216097748,0.030739784240722656,8.190498500102414,16.0,0.0,laplace,,,,,,1.0,,,,,,,,,,
INT4,Laplace(b=1.0),4,0.045481518548457445,15.646937238178928,22.473998009180043,2.8252387046813965,2.5989000205222927,4.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
INT8,Laplace(b=1.0),8,0.014361423674871534,20.653311859426907,0.9586595696448541,2.3564887046813965,3.4304408459150295,8.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
MXINT4,Laplace(b=1.0),4,0.09268590138248217,12.555150025485045,20.525016801381046,2.8252387046813965,2.0853652802592277,4.0,0.25,laplace,,1.0625,,,,1.0,,,,,,,,,,
MXINT8,Laplace(b=1.0),8,0.056373517942803375,14.714535429556705,1.8593831837748942,2.3564887046813965,2.444031432332995,8.0,0.25,laplace,,1.03125,,,,1.0,,,,,,,,,,
MXFP4,Laplace(b=1.0),4,0.043775547154781436,15.812970973318137,19.750135494551806,1.5226993560791016,2.626477626995194,4.0,0.25,laplace,,1.0625,,,,1.0,,,,,,,,,,
MXFP8,Laplace(b=1.0),8,0.08473704089499173,12.944553864919916,8.379401838269734,2.8252387046813965,2.150043857983013,8.0,0.25,laplace,,1.03125,,,,1.0,,,,,,,,,,
NVFP4,Laplace(b=1.0),4,0.029539678417621673,17.5212291733544,22.61976013091695,0.8723845481872559,2.9102131723963023,4.0,0.0,laplace,,,,,,1.0,,,,,,,,,,
NF4,Laplace(b=1.0),4,0.02774284319437471,17.79377713205583,22.42269384448867,0.5547409057617188,2.9554824084570264,4.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
FP6,Laplace(b=1.0),6,0.004188444309794759,26.00475935039784,12.415737607597524,0.33477783203125,4.319297034343571,6.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
SQ-Format,Laplace(b=1.0),4,0.034953511608308674,16.79037866694324,22.47399800916665,2.3564887046813965,2.788821530875808,5.04,1.0,laplace,,1.26,4.0,8.0,0.01,1.0,,,,,,,,,,
HAD+INT4(C),Laplace(b=1.0),4,0.03262766958077751,17.089426248368127,2.056130246385359,0.5788557529449463,2.838492258997981,4.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
HAD+INT8(C),Laplace(b=1.0),8,0.009433354457151488,22.478625271019087,2.1440562183483802,0.27796030044555664,3.733618841112168,8.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
HAD+INT4(T),Laplace(b=1.0),4,0.03262766958077751,17.089426248368127,2.056130246385359,0.5788557529449463,2.838492258997981,4.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
HAD+INT8(T),Laplace(b=1.0),8,0.009433354457151488,22.478625271019087,2.1440562183483802,0.27796030044555664,3.733618841112168,8.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
HAD+SQ,Laplace(b=1.0),4,0.024856957185574402,18.27080716136114,1.8984386561088809,0.4909651279449463,3.0347153812797396,5.04,1.0,laplace,,1.26,4.0,8.0,0.01,1.0,,,,,,,,,,
HAD+LUT4,Laplace(b=1.0),4,0.033633660595670134,16.957545430986244,1.8263004577848563,0.5671422332525253,2.8165873293761012,4.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
RandRot+INT4,Laplace(b=1.0),4,0.018814447565096877,19.480372094388578,1.6742264719886777,0.42868584394454956,3.2356197679604595,4.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
RandRot+INT8,Laplace(b=1.0),8,0.00013097749299884954,41.05332006938675,0.2954501480915187,0.03425663709640503,6.818808866344953,8.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
SmoothQuant+INT4,Laplace(b=1.0),4,0.06784993703792233,13.909792314220786,22.87821800212962,0.45135998725891113,2.3103664941329165,4.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
SmoothQuant+INT8,Laplace(b=1.0),8,0.0001984123068018712,39.24960074031248,3.0043552366248134,0.02485811710357666,6.519217570617792,8.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
HAD+INT4,Laplace(b=1.0),4,0.03262766958077751,17.089426248368127,2.056130246385359,0.5788557529449463,2.838492258997981,4.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
HAD+INT8,Laplace(b=1.0),8,0.009433354457151488,22.478625271019087,2.1440562183483802,0.27796030044555664,3.733618841112168,8.0,0.0,laplace,,1.0,,,,1.0,,,,,,,,,,
FP32,Laplace(b=2.0),32,0.0,inf,0.0,0.0,inf,32.0,0.0,laplace,,,,,,2.0,,,,,,,,,,
BF16,Laplace(b=2.0),16,7.823790555731177e-05,49.31171455943349,0.4205973216097748,0.06147956848144531,8.190498500102414,16.0,0.0,laplace,,,,,,2.0,,,,,,,,,,
INT4,Laplace(b=2.0),4,0.18192607419382978,15.646937238178928,22.473998009180043,5.650477409362793,2.5989000205222927,4.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
INT8,Laplace(b=2.0),8,0.057445694699486134,20.653311859426907,0.9586595696448541,4.712977409362793,3.4304408459150295,8.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
MXINT4,Laplace(b=2.0),4,0.3707436055299287,12.555150025485045,20.525016801381046,5.650477409362793,2.0853652802592277,4.0,0.25,laplace,,1.0625,,,,2.0,,,,,,,,,,
MXINT8,Laplace(b=2.0),8,0.2254940717712135,14.714535429556705,1.8593831837748942,4.712977409362793,2.444031432332995,8.0,0.25,laplace,,1.03125,,,,2.0,,,,,,,,,,
MXFP4,Laplace(b=2.0),4,0.17510218861912574,15.812970973318137,19.750135494551806,3.045398712158203,2.626477626995194,4.0,0.25,laplace,,1.0625,,,,2.0,,,,,,,,,,
MXFP8,Laplace(b=2.0),8,0.33894816357996693,12.944553864919916,8.379401838269734,5.650477409362793,2.150043857983013,8.0,0.25,laplace,,1.03125,,,,2.0,,,,,,,,,,
NVFP4,Laplace(b=2.0),4,0.11815871367048669,17.5212291733544,22.61976013091695,1.7447690963745117,2.9102131723963023,4.0,0.0,laplace,,,,,,2.0,,,,,,,,,,
NF4,Laplace(b=2.0),4,0.11097137277749884,17.79377713205583,22.42269384448867,1.1094818115234375,2.9554824084570264,4.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
FP6,Laplace(b=2.0),6,0.016753777239179035,26.00475935039784,12.415737607597524,0.6695556640625,4.319297034343571,6.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
SQ-Format,Laplace(b=2.0),4,0.1398140464332347,16.79037866694324,22.47399800916665,4.712977409362793,2.788821530875808,5.04,1.0,laplace,,1.26,4.0,8.0,0.01,2.0,,,,,,,,,,
HAD+INT4(C),Laplace(b=2.0),4,0.13051067832311003,17.089426248368127,2.056130246385359,1.1577115058898926,2.838492258997981,4.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
HAD+INT8(C),Laplace(b=2.0),8,0.03773341782860595,22.478625271019087,2.1440562183483802,0.5559206008911133,3.733618841112168,8.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
HAD+INT4(T),Laplace(b=2.0),4,0.13051067832311003,17.089426248368127,2.056130246385359,1.1577115058898926,2.838492258997981,4.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
HAD+INT8(T),Laplace(b=2.0),8,0.03773341782860595,22.478625271019087,2.1440562183483802,0.5559206008911133,3.733618841112168,8.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
HAD+SQ,Laplace(b=2.0),4,0.09942782874229761,18.27080716136114,1.8984386561088809,0.9819302558898926,3.0347153812797396,5.04,1.0,laplace,,1.26,4.0,8.0,0.01,2.0,,,,,,,,,,
HAD+LUT4,Laplace(b=2.0),4,0.13453464238268054,16.957545430986244,1.8263004577848563,1.1342844665050507,2.8165873293761012,4.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
RandRot+INT4,Laplace(b=2.0),4,0.07525779026038751,19.480372094388578,1.6742264719886777,0.8573716878890991,3.2356197679604595,4.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
RandRot+INT8,Laplace(b=2.0),8,0.0005239099719953982,41.05332006938675,0.2954501480915187,0.06851327419281006,6.818808866344953,8.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
SmoothQuant+INT4,Laplace(b=2.0),4,0.2713997481516893,13.909792314220786,22.87821800212962,0.9027199745178223,2.3103664941329165,4.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
SmoothQuant+INT8,Laplace(b=2.0),8,0.0007936492272074848,39.24960074031248,3.0043552366248134,0.04971623420715332,6.519217570617792,8.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
HAD+INT4,Laplace(b=2.0),4,0.13051067832311003,17.089426248368127,2.056130246385359,1.1577115058898926,2.838492258997981,4.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
HAD+INT8,Laplace(b=2.0),8,0.03773341782860595,22.478625271019087,2.1440562183483802,0.5559206008911133,3.733618841112168,8.0,0.0,laplace,,1.0,,,,2.0,,,,,,,,,,
FP32,Student-t(ν=3),32,0.0,inf,0.0,0.0,inf,32.0,0.0,student_t,,,,,,,3.0,,,,,,,,,
BF16,Student-t(ν=3),16,2.1959568146451507e-05,49.630256046393946,0.2775650206141086,0.029946327209472656,8.243407095848472,16.0,0.0,student_t,,,,,,,3.0,,,,,,,,,
INT4,Student-t(ν=3),4,0.08198440354121181,13.909181583264633,22.736009421086884,2.8093037605285645,2.3102650539168335,4.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
