format,layer_name,layer_type,tensor_type,bits,mse,snr_db,eff_bits,max_ae,mean,std,outlier_ratio,n_batches,n_elements
INT8(CHANNEL),classifier,Linear,input,8,8.161100446641212e-05,41.87803945893278,6.955791791871518,0.030918002128601074,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
INT8(CHANNEL),classifier,Linear,weight,8,3.2071234278792454e-07,43.63875931534443,7.248241029783512,0.0009759664535522461,0.0006549509339151882,0.08609854314684062,0.0,8,1280
INT8(CHANNEL),classifier,Linear,output,8,0.001277929247843004,40.86740691680325,6.787929360106141,0.06248617172241211,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
INT4(TENSOR),embed,Linear,input,4,0.0006224696142911223,22.012934561377374,3.656269288517826,0.12450981140136719,0.1365244546780963,0.31456167318907885,0.0,8,200704
INT4(TENSOR),embed,Linear,weight,4,0.0003271406775141538,15.846118789044572,2.6319833600124833,0.03120952844619751,0.0013572309447949596,0.11211745057736629,0.0,8,3584
INT4(TENSOR),embed,Linear,output,4,0.00578660251341237,8.410037309867029,1.3968769609349108,0.12499964237213135,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
INT4(TENSOR),classifier,Linear,input,4,0.02827319414866564,16.481777936257437,2.7375640590074113,0.4997473359107971,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
INT4(TENSOR),classifier,Linear,weight,4,8.204529765626863e-05,19.559379108915977,3.248742549023046,0.015606723725795746,0.0006549509339151882,0.08609854314684062,0.0,8,1280
INT4(TENSOR),classifier,Linear,output,4,0.33626668141485283,16.665636636959025,2.768102328174916,0.9999351501464844,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
INT8(TENSOR),embed,Linear,input,8,5.005604181531672e-06,42.95955107672995,7.1354269832768935,0.007781863212585449,0.1365244546780963,0.31456167318907885,0.0,8,200704
INT8(TENSOR),embed,Linear,weight,8,1.2557484463484546e-06,40.004437781720334,6.644593289363511,0.0019529350101947784,0.0013572309447949596,0.11211745057736629,0.0,8,3584
INT8(TENSOR),embed,Linear,output,8,2.0257003213504627e-05,32.96852185330502,5.475952949570096,0.0078125,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
INT8(TENSOR),classifier,Linear,input,8,0.0001106066634034043,40.5577137761411,6.736490442868167,0.03124535083770752,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
INT8(TENSOR),classifier,Linear,weight,8,3.2071234278792454e-07,43.63875931534443,7.248241029783512,0.0009759664535522461,0.0006549509339151882,0.08609854314684062,0.0,8,1280
INT8(TENSOR),classifier,Linear,output,8,0.0013165933797412625,40.73795834600844,6.766428417897827,0.06248617172241211,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
HAD+INT4(C),embed,Linear,input,4,,,,,0.1365244546780963,0.31456167318907885,0.0,8,200704
HAD+INT4(C),embed,Linear,weight,4,,,,,0.0013572309447949596,0.11211745057736629,0.0,8,3584
HAD+INT4(C),embed,Linear,output,4,0.0009548054415865141,16.235124968676224,2.696595887872643,0.2710255980491638,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
HAD+INT4(C),classifier,Linear,input,4,0.03979807133958341,14.99690642896458,2.4909322401387173,0.8586826324462891,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
HAD+INT4(C),classifier,Linear,weight,4,0.00016447976985395859,16.53879116207415,2.7470337508384466,0.04688800498843193,0.0006549509339151882,0.08609854314684062,0.0,8,1280
HAD+INT4(C),classifier,Linear,output,4,,,,,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
HAD+INT8(C),embed,Linear,input,8,,,,,0.1365244546780963,0.31456167318907885,0.0,8,200704
HAD+INT8(C),embed,Linear,weight,8,,,,,0.0013572309447949596,0.11211745057736629,0.0,8,3584
HAD+INT8(C),embed,Linear,output,8,3.71494535660558e-06,40.334749522467355,6.699456881946446,0.015625521540641785,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
HAD+INT8(C),classifier,Linear,input,8,0.00015506599617618255,39.09036095575693,6.492768414910848,0.05311387777328491,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
HAD+INT8(C),classifier,Linear,weight,8,6.421940351492718e-07,40.62325338423561,6.747376336141019,0.002533167600631714,0.0006549509339151882,0.08609854314684062,0.0,8,1280
HAD+INT8(C),classifier,Linear,output,8,,,,,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
HAD+INT4(T),embed,Linear,input,4,,,,,0.1365244546780963,0.31456167318907885,0.0,8,200704
HAD+INT4(T),embed,Linear,weight,4,,,,,0.0013572309447949596,0.11211745057736629,0.0,8,3584
HAD+INT4(T),embed,Linear,output,4,0.0035085191739968324,10.5830352803883,1.7578041113553025,0.43365344405174255,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
HAD+INT4(T),classifier,Linear,input,4,0.04193797870567023,14.769451742253581,2.4531528344337636,0.8586826324462891,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
HAD+INT4(T),classifier,Linear,weight,4,0.00016447976985395859,16.53879116207415,2.7470337508384466,0.04688800498843193,0.0006549509339151882,0.08609854314684062,0.0,8,1280
HAD+INT4(T),classifier,Linear,output,4,,,,,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
HAD+INT8(T),embed,Linear,input,8,,,,,0.1365244546780963,0.31456167318907885,0.0,8,200704
HAD+INT8(T),embed,Linear,weight,8,,,,,0.0013572309447949596,0.11211745057736629,0.0,8,3584
HAD+INT8(T),embed,Linear,output,8,1.4186607893269474e-05,34.51548816980359,5.732898493001147,0.02837761491537094,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
HAD+INT8(T),classifier,Linear,input,8,0.00016333708928140467,38.86467857012442,6.455283382043155,0.05311387777328491,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
HAD+INT8(T),classifier,Linear,weight,8,6.421940351492718e-07,40.62325338423561,6.747376336141019,0.002533167600631714,0.0006549509339151882,0.08609854314684062,0.0,8,1280
