distribution,format,qsnr_db,fp16_qsnr_db,crest,kurtosis,abs_max,std,tags
Student-t(ν=3),INT4_FP,5.2720538115826034,73.89070111169771,14.71906354995594,16.767157370412537,23.78384017944336,1.6158528087552522,heavy-tail
Student-t(ν=3),FP4,9.094115690041546,73.89070111169771,14.71906354995594,16.767157370412537,23.78384017944336,1.6158528087552522,heavy-tail
Student-t(ν=3),NF4,8.878933483393027,73.89070111169771,14.71906354995594,16.767157370412537,23.78384017944336,1.6158528087552522,heavy-tail
Student-t(ν=3),NF4_FP8,8.805759809614294,73.89070111169771,14.71906354995594,16.767157370412537,23.78384017944336,1.6158528087552522,heavy-tail
Student-t(ν=3),APoT4,6.102929146995534,73.89070111169771,14.71906354995594,16.767157370412537,23.78384017944336,1.6158528087552522,heavy-tail
Student-t(ν=3),LOG4,14.486315646948412,73.89070111169771,14.71906354995594,16.767157370412537,23.78384017944336,1.6158528087552522,heavy-tail
Student-t(ν=3),NVFP4,9.094115690041546,73.89070111169771,14.71906354995594,16.767157370412537,23.78384017944336,1.6158528087552522,heavy-tail
Student-t(ν=3),MXINT4,15.01419566320684,73.89070111169771,14.71906354995594,16.767157370412537,23.78384017944336,1.6158528087552522,heavy-tail
Student-t(ν=3),MXFP4,17.707225918437494,73.89070111169771,14.71906354995594,16.767157370412537,23.78384017944336,1.6158528087552522,heavy-tail
Student-t(ν=10),INT4,11.832464893319369,73.75244979152151,5.175199271747158,0.8493550218863328,5.813941955566406,1.1234237853035574,heavy-tail
Student-t(ν=10),INT4_FP,13.361379551459647,73.75244979152151,5.175199271747158,0.8493550218863328,5.813941955566406,1.1234237853035574,heavy-tail
Student-t(ν=10),FP4,17.010559562641124,73.75244979152151,5.175199271747158,0.8493550218863328,5.813941955566406,1.1234237853035574,heavy-tail
Student-t(ν=10),NF4,17.23269229287656,73.75244979152151,5.175199271747158,0.8493550218863328,5.813941955566406,1.1234237853035574,heavy-tail
Student-t(ν=10),NF4_FP8,16.949269668153413,73.75244979152151,5.175199271747158,0.8493550218863328,5.813941955566406,1.1234237853035574,heavy-tail
Student-t(ν=10),APoT4,14.57772121250737,73.75244979152151,5.175199271747158,0.8493550218863328,5.813941955566406,1.1234237853035574,heavy-tail
Student-t(ν=10),LOG4,14.30836653858168,73.75244979152151,5.175199271747158,0.8493550218863328,5.813941955566406,1.1234237853035574,heavy-tail
Student-t(ν=10),NVFP4,17.010559562641124,73.75244979152151,5.175199271747158,0.8493550218863328,5.813941955566406,1.1234237853035574,heavy-tail
Student-t(ν=10),MXINT4,17.12015992191916,73.75244979152151,5.175199271747158,0.8493550218863328,5.813941955566406,1.1234237853035574,heavy-tail
Student-t(ν=10),MXFP4,18.844016792901005,73.75244979152151,5.175199271747158,0.8493550218863328,5.813941955566406,1.1234237853035574,heavy-tail
Bimodal(μ=±3),INT4,20.612504271374476,74.48763514852243,1.5775839893571078,-1.8941545985401467,4.824206352233887,3.057971166530305,multimodal
Bimodal(μ=±3),INT4_FP,23.781342927098365,74.48763514852243,1.5775839893571078,-1.8941545985401467,4.824206352233887,3.057971166530305,multimodal
Bimodal(μ=±3),FP4,20.630842510696343,74.48763514852243,1.5775839893571078,-1.8941545985401467,4.824206352233887,3.057971166530305,multimodal
Bimodal(μ=±3),NF4,21.72252768123635,74.48763514852243,1.5775839893571078,-1.8941545985401467,4.824206352233887,3.057971166530305,multimodal
Bimodal(μ=±3),NF4_FP8,21.930166405883135,74.48763514852243,1.5775839893571078,-1.8941545985401467,4.824206352233887,3.057971166530305,multimodal
Bimodal(μ=±3),APoT4,24.090241489394167,74.48763514852243,1.5775839893571078,-1.8941545985401467,4.824206352233887,3.057971166530305,multimodal
Bimodal(μ=±3),LOG4,12.969340122561352,74.48763514852243,1.5775839893571078,-1.8941545985401467,4.824206352233887,3.057971166530305,multimodal
Bimodal(μ=±3),NVFP4,20.630842510696343,74.48763514852243,1.5775839893571078,-1.8941545985401467,4.824206352233887,3.057971166530305,multimodal
Bimodal(μ=±3),MXINT4,21.91119188247853,74.48763514852243,1.5775839893571078,-1.8941545985401467,4.824206352233887,3.057971166530305,multimodal
Bimodal(μ=±3),MXFP4,19.633648173957685,74.48763514852243,1.5775839893571078,-1.8941545985401467,4.824206352233887,3.057971166530305,multimodal
ChannelOutlier(σ=30),INT4,8.125566344018107,73.84570029352007,25.816917073831167,215.59775459432822,72.55842590332031,2.8104992434153884,"outlier,channel"
ChannelOutlier(σ=30),INT4_FP,8.758544771847598,73.84570029352007,25.816917073831167,215.59775459432822,72.55842590332031,2.8104992434153884,"outlier,channel"
ChannelOutlier(σ=30),FP4,8.667844491163208,73.84570029352007,25.816917073831167,215.59775459432822,72.55842590332031,2.8104992434153884,"outlier,channel"
ChannelOutlier(σ=30),NF4,8.90376099517301,73.84570029352007,25.816917073831167,215.59775459432822,72.55842590332031,2.8104992434153884,"outlier,channel"
