distribution,format,transform,qsnr_y_db,qsnr_w_db,qsnr_x_db,crest_X,crest_W,tags
SmoothFriendly-Severe,NVFP4,had,15.239008917806657,17.696441124001314,18.983719203864545,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,MXINT4,base,16.546819274569692,18.101354528152566,21.89836429268852,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,MXINT4,smooth,19.604068749496747,8.833293083392682,22.447066305870152,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,MXINT4,had,15.719806521101052,18.22891180851671,19.81368995692163,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,MXFP4,base,14.868860583413513,18.882319731148584,17.31289097645791,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,MXFP4,smooth,14.324744729822342,13.3840768203929,17.761664136950778,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,MXFP4,had,15.815116429727112,18.895514799571433,19.04560848416793,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Balanced,INT4,base,8.73418431189245,14.516308911036159,12.27775618286387,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,INT4,smooth,14.235378176015965,8.7107400508627,15.916426833716514,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,INT4,had,12.547018174969946,14.736592783322038,18.44008536522994,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,FP4,base,11.065681758672481,18.04452627165684,12.519910974497003,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,FP4,smooth,13.936644420288715,14.150423357069666,17.12999356261983,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,FP4,had,15.761026750827087,18.067385442549334,19.226813000812687,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,NF4,base,11.030994376576475,20.042817586964247,13.557360429297365,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,NF4,smooth,17.82552632872508,14.348201066918895,21.004302434176747,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,NF4,had,14.700909217274408,19.847243074986945,20.44103188145848,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,NVFP4,base,4.262453786884109,6.439949005507112,11.89341225987512,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,NVFP4,smooth,9.721441147550475,6.398037459636998,15.933431980304022,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,NVFP4,had,4.9141529172356,6.431582582806163,16.816715152696915,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,MXINT4,base,14.004176194142202,17.580744763432715,16.683323966929585,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,MXINT4,smooth,19.331370358820777,14.651974466285726,20.9765651104275,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,MXINT4,had,14.931233465289033,18.128794718198932,19.375583459275063,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,MXFP4,base,14.285296769893097,18.7500085496375,15.66535132842553,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,MXFP4,smooth,14.050161720622471,17.651404350600078,17.64410581050939,24.1121026203741,24.224872975971074,"smooth,balanced"
SmoothFriendly-Balanced,MXFP4,had,14.86852262555603,18.67881775313297,19.00067356808538,24.1121026203741,24.224872975971074,"smooth,balanced"
